Comentario,EsPositivo
El sistema funciona muy bien,true
Excelente trabajo completado,true
Todo salió perfecto,true
La tarea fue completada correctamente,true
Muy buen resultado,true
Funciona de maravilla,true
Estoy muy satisfecho,true
El proceso fue exitoso,true
Terrible error en el sistema,false
No funciona nada,false
Pésimo rendimiento,false
El sistema falló completamente,false
Muy mal resultado,false
Error crítico detectado,false
No se pudo completar la tarea,false
Sistema caído por fallas,false
